Sample,Longitude,Latitude,inclusion.probabilities,domain,FoV,Relief,Soft substata,Hard substrata,Biota,Habitat
128,147.112,-39.0718,0.01515253,3,Open,0,25-50% Unconsolidated Pebble / gravel (biogenic) ,,Bare,Shellhash
129,147.267,-39.2652,0.000407233,1,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Medium Short Invert complex,Shellhash
130,147.083,-39.4091,0.20238171,4,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Sparse Short Invert complex,Coarse sand
131,147.195,-39.2578,0,1,Open,2,75-100% Unconsolidated Pebble / gravel (biogenic) ,0-25% Consolidated Rock Veneer,Medium Tall Invert complex,Shellhash
132,146.944,-39.5341,0,1,Open,1,75-100% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Coarse sand
134,146.99,-39.4789,0,1,Open,1,50-75% Unconsolidated Pebble / gravel (screwshells) ,,Sparse Short Invert complex,Screwshells
135,146.743,-39.3129,0,1,Open,1,50-75% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Medium Short Invert complex,Coarse sand
136,146.616,-39.5711,0,1,Open,1,50-75% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Coarse sand
137,147.115,-39.406,0,1,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Medium Short Invert complex,Shellhash
138,146.868,-39.238,0,1,Open,1,75-100% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Tall Invert complex,Shellhash
139,146.805,-39.4611,0,1,Open,1,75-100% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Coarse sand
140,147.303,-39.2951,0,1,Open,2,50-75% Unconsolidated Sand / mud (coarse sand) ,50-75% Consolidated Rock Veneer,Medium Tall Invert complex,Reef
141,146.681,-39.1272,0,1,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Bare,Coarse sand
142,146.927,-39.3861,0,1,Open,0,75-100% Unconsolidated Sand / mud (coarse sand) ,,Sparse Short Invert complex,Coarse sand
143,147.021,-39.3309,0,1,Open,1,50-75% Unconsolidated Pebble / gravel (biogenic) ,,Sparse Short Invert complex,Shellhash
144,146.774,-39.165,0,1,Open,1,75-100% Unconsolidated Pebble / gravel (screwshells) ,,Bare,Screwshells
145,146.649,-39.2751,0,1,Open,1,75-100% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Tall Invert complex,Coarse sand
147,146.836,-39.3617,0,1,Open,1,25-50% Unconsolidated Pebble / gravel (screwshells) ,,Sparse Short Invert complex,Screwshells
149,146.959,-39.1409,0,1,Open,1,75-100% Unconsolidated Sand / mud (coarse sand) ,0-25% Consolidated Rock Veneer,Sparse Short Invert complex,Coarse sand
