Dot Point Measurements																									
																									
"Generated: Tuesday, December 05, 2017 15:33:46"																									
																									
Filename	Frame	Time (HMS)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	CATAMI_L1	CATAMI_L2	CATAMI_L3	CATAMI_L4	CATAMI_L5	CATAMI_L6	Description [Code]	CATAMI Sp Code	Radius %
DeepReef_Butlers_07_26032015_284.avi	42681	13:35.9	944	1344	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			64.3
DeepReef_Butlers_07_26032015_284.avi	42681	13:35.9	136	1727	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			100
DeepReef_Butlers_07_26032015_284.avi	42681	13:35.9	405	1727	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			89.8
DeepReef_Butlers_07_26032015_284.avi	42681	13:35.9	675	1727	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			89.8
DeepReef_Butlers_07_26032015_284.avi	42681	13:35.9	944	1727	12/01/2017	Butlers Point Autumn											Macroalgae	Large canopy-forming	Brown	Open		80300902			100
DeepReef_Butlers_08_24032015_284.avi	18718	28:57.0	136	193	12/01/2017	Butlers Point Autumn											Open Water			Open					100
DeepReef_Butlers_08_24032015_284.avi	18718	28:57.0	405	193	12/01/2017	Butlers Point Autumn											Open Water			Open					89.8
DeepReef_Butlers_08_24032015_284.avi	18718	28:57.0	675	193	12/01/2017	Butlers Point Autumn											Open Water			Open					89.8
DeepReef_Butlers_08_24032015_284.avi	18718	28:57.0	944	193	12/01/2017	Butlers Point Autumn											Invertebrate Complex	Complex 2		Limited	2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope				100
DeepReef_Butlers_08_24032015_284.avi	18718	28:57.0	136	576	12/01/2017	Butlers Point Autumn											Open Water			Open					64.3
DeepReef_Butlers_08_24032015_284.avi	18718	28:57.0	405	576	12/01/2017	Butlers Point Autumn											Open Water			Open					46.9
