Sample,Longitude,Latitude,Date,Time,Site,Location,Zone,Status,Depth,Successful.count,Successful.length,Observer,inclusion.probabilities,,,
M263,159.07446,-29.46388,20200202,8:07:00,M263,Middleton,Lagoon,No-take,0.4708394,Yes,No,Joel,0.072238902,,,
M268,159.04971,-29.47612,20200202,16:11:00,M268,Middleton,Outside,No-take,-28.62843704,Yes,Yes,Kristy,0.009082575,,,
M269,159.09632,-29.45353,20200201,8:13:00,M269,Middleton,Lagoon,No-take,-4.876262,Yes,Yes,Joel,0.034260602,,,
M27,159.09125,-29.44221,20200203,11:01:00,M27,Middleton,Outside,No-take,-10.61972,Yes,Yes,Kristy,0.277967444,,,
M273,159.07884,-29.45846,20200202,8:21:00,M273,Middleton,Lagoon,No-take,0.3859816,Yes,Yes,Joel,0.072238902,,,
M274,159.08584,-29.44379,20200203,11:16:00,M274,Middleton,Outside,No-take,-13.21787,Yes,No,Joel,0.223847381,,,
M283,159.12256,-29.45067,20200201,10:47:00,M283,Middleton,Lagoon,No-take,0.9294825,Yes,Yes,Joel,0.072238902,,,
M284,159.07598,-29.49105,20200203,9:38:00,M284,Middleton,Outside,No-take,-48.20348358,Yes,No,Kristy,0.03734341,,,
M29,159.04696,-29.43,20200201,8:20:00,M29,Middleton,Outside,No-take,-75.40890503,Yes,Yes,Justin,0.079878147,,,
M286,159.05259,-29.45441,20200202,13:20:00,M286,Middleton,Lagoon,No-take,0.846693,Yes,Yes,Joel,0.034260602,,,
M291,159.10509,-29.45885,20200201,8:56:00,M291,Middleton,Lagoon,No-take,1.243185,Yes,Yes,Joel,0.034260602,,,
M293,159.12842,-29.48324,20200203,15:42:00,M293,Middleton,Outside,No-take,-51.00999069,Yes,Yes,Kristy,0.03734341,,,
M292,159.08643,-29.46983,20200202,10:23:00,M292,Middleton,Lagoon,No-take,-0.5753042,Yes,No,Joel,0.034260602,,,
M294,159.0911,-29.45029,20200203,9:22:00,M294,Middleton,Lagoon,No-take,-10.39452,Yes,Yes,Kristy,0.062972048,,,
M296,159.09132,-29.46441,20200202,8:39:00,M296,Middleton,Lagoon,No-take,1.288308,Yes,Yes,Joel,0.034260602,,,
M298,159.05635,-29.4522,20200202,13:30:00,M298,Middleton,Lagoon,No-take,0.4825665,Yes,Yes,Joel,0.045325403,,,
M34,159.08774,-29.43246,20200131,12:43:00,M34,Middleton,Outside,No-take,-26.87403,Yes,Yes,Justin,0.03734341,,,
M30,159.11223,-29.44097,20200201,11:14:00,M30,Middleton,Lagoon,No-take,0.1410811,Yes,Yes,Joel,0.045325403,,,
M35,159.12276,-29.44913,20200201,10:43:00,M35,Middleton,Lagoon,No-take,-0.8499774,Yes,Yes,Joel,0.045325403,,,
M40,159.03589,-29.47725,20200202,16:18:00,M40,Middleton,Outside,No-take,-80.15666199,Yes,Yes,Justin,0.011064268,,,
M36,159.0528,-29.46258,20200131,12:34:00,M36,Middleton,Lagoon,No-take,0.6776106,Yes,Yes,Joel,0.034260602,,,
M43,159.10353,-29.45402,20200201,7:36:00,M43,Middleton,Lagoon,No-take,-0.8522174,Yes,Yes,Joel,0.045325403,,,
M45,159.08019,-29.40584,20200201,8:55:00,M45,Middleton,Outside,No-take,-98.75889587,Yes,No,Justin,0.008317689,,,
M50,159.1094,-29.48768,20200203,15:27:00,M50,Middleton,Outside,No-take,-37.6772728,Yes,Yes,Justin,0.03734341,,,
M53,159.09625,-29.49216,20200202,10:58:00,M53,Middleton,Outside,No-take,-49.79079056,Yes,Yes,Justin,0.03734341,,,
M44,159.08488,-29.465,20200131,10:23:00,M44,Middleton,Lagoon,No-take,-0.7081426,Yes,No,Joel,0.034260602,,,
M57,159.07875,-29.47101,20200131,10:43:00,M57,Middleton,Lagoon,No-take,1.208537,Yes,Yes,Joel,0.034260602,,,
M58,159.11378,-29.48443,20200203,15:30:00,M58,Middleton,Outside,No-take,-30.42054176,Yes,No,Justin,0.026642631,,,
M59,159.0642,-29.46122,20200131,12:22:00,M59,Middleton,Lagoon,No-take,-2.239252,Yes,Yes,Joel,0.034260602,,,
M61,159.07582,-29.41708,20200131,12:27:00,M61,Middleton,Outside,No-take,-46.13866425,Yes,Yes,Justin,0.079878147,,,
M65,159.13059,-29.44511,20200201,14:27:00,M65,Middleton,Lagoon,No-take,-0.5593728,Yes,No,Joel,0.034260602,,,
M66,159.06069,-29.45861,20200131,12:40:00,M66,Middleton,Outside,No-take,-0.1623597,Yes,No,Joel,0.045325403,,,
M67,159.08629,-29.42195,20200131,12:18:00,M67,Middleton,Outside,No-take,-40.26639938,Yes,Yes,Justin,0.009082575,,,
M69,159.13342,-29.47769,20200203,15:52:00,M69,Middleton,Outside,No-take,-42.71556854,Yes,Yes,Justin,0.026642631,,,
M70,159.10772,-29.41417,20200201,9:35:00,M70,Middleton,Outside,No-take,-31.8158741,Yes,Yes,Kristy,0.03734341,,,
M68,159.11009,-29.46304,20200131,8:44:00,M68,Middleton,Lagoon,No-take,-1.054986,Yes,Yes,Joel,0.034260602,,,
M71,159.0891,-29.45453,20200203,9:09:00,M71,Middleton,Lagoon,No-take,0.1882923,Yes,Yes,Kristy,0.034260602,,,
M72,159.12054,-29.44187,20200201,11:26:00,M72,Middleton,Lagoon,No-take,0.49012,Yes,Yes,Joel,0.072238902,,,
M77,159.10131,-29.44676,20200203,13:15:00,M77,Middleton,Lagoon,No-take,0.8054017,Yes,Yes,Kristy,0.045325403,,,
M78,159.08263,-29.48806,20200203,9:34:00,M78,Middleton,Outside,No-take,-29.93590355,Yes,Yes,Kristy,0.03734341,,,
