Sample,date_time,Date,Time,Time.out,Depth,Location,Site,Status,Latitude,Longitude,Inc_prob,Observer,observer.count,observer.length,Successful.count,Successful.length,Habitat.image.forward,highlight.videos,fish.images,representative.videos,Analysis.notes,Area
17_3,2021-08-28 15:05:00,20210828,15:05:00,,100,Freycinet North,17,Fished,-41.68993002,148.5082179,0.00160957,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Not much. ,North Reference
17_4,2021-08-28 14:49:00,20210828,14:49:00,,101,Freycinet North,17,Fished,-41.68696975,148.5141565,0.00160957,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,One grubfish and some crabs,North Reference
17_5,2021-08-28 15:09:00,20210828,15:09:00,,100,Freycinet North,17,Fished,-41.69187303,148.5111472,0.00160957,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Not much,North Reference
17_6,2021-08-28 14:54:00,20210828,14:54:00,,101,Freycinet North,17,Fished,-41.6889126,148.5170859,0.00160957,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Not much. A few flathead,North Reference
18_1,2021-08-19 10:04:00,20210819,10:04:00,,92,Freycinet AMP,18,VI,-41.92938491,148.5037152,0.000691922,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,"Seal. Lots of macropterus, whitleyi",IUCN VI Shelf
18_2,2021-08-19 10:27:00,20210819,10:27:00,,91,Freycinet AMP,18,VI,-41.93716909,148.5007618,0.000691922,DS,DS,DS,Yes,No,Yes,No ,No,No,Left camera is actually 18_5 so no measurements/might show wrong camera ID. Some unknown fish and shark ID,IUCN VI Shelf
18_3,2021-08-19 10:18:00,20210819,10:18:00,,92,Freycinet AMP,18,VI,-41.93402887,148.5067191,0.000691922,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Not much. Dark sandy site.,IUCN VI Shelf
18_4,2021-08-19 10:09:00,20210819,10:09:00,,89,Freycinet AMP,18,VI,-41.93124557,148.4991756,0.000691922,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Not much. Dark sandy site.,IUCN VI Shelf
18_5,2021-08-19 10:22:00,20210819,10:22:00,,91,Freycinet AMP,18,VI,-41.93602866,148.5053187,0.000691922,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Seven-gill shark but not much else,IUCN VI Shelf
18_6,2021-08-19 10:13:00,20210819,10:13:00,,90,Freycinet AMP,18,VI,-41.93318539,148.502357,0.000691922,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Seal. ,IUCN VI Shelf
19_1,2021-09-04 15:31:00,20210904,15:31:00,,101,Freycinet AMP,19,IV,-42.19120836,148.4820521,0.0128306,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,"Seal, scorpaenoides, macropterus",IUCN IV Shelf
19_2,2021-09-04 15:42:00,20210904,15:42:00,,101,Freycinet AMP,19,IV,-42.19617184,148.4882239,0.0128306,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Several sharks,IUCN IV Shelf
19_3,2021-09-04 15:35:00,20210904,15:35:00,,100,Freycinet AMP,19,IV,-42.19314838,148.4852463,0.0128306,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Catshark and some macropterus. Brittlestar at beginning. ,IUCN IV Shelf
19_4,2021-09-04 15:05:00,20210904,15:05:00,,107,Freycinet AMP,19,IV,-42.19018876,148.4912323,0.0128306,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Sharks,IUCN IV Shelf
19_5,2021-09-04 15:39:00,20210904,15:39:00,,99,Freycinet AMP,19,IV,-42.19515105,148.4835976,0.0128306,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Lots of percoides. Some crabs,IUCN IV Shelf
19_6,2021-09-04 15:46:00,20210904,15:46:00,,102,Freycinet AMP,19,IV,-42.19219152,148.4895838,0.0128306,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,macropterus and morid cods,IUCN IV Shelf
20_1,2021-09-08 11:53:00,20210908,11:53:00,,111,Freycinet AMP,20,VI,-41.80795463,148.5326522,0.000691922,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Flathead and macropterus. Squid ink,IUCN VI Shelf
20_2,2021-09-08 11:58:00,20210908,11:58:00,,112,Freycinet AMP,20,VI,-41.80499299,148.5386003,0.000691922,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Flathead,IUCN VI Shelf
20_3,2021-09-08 11:41:00,20210908,11:41:00,,112,Freycinet AMP,20,VI,-41.81259477,148.5358929,0.000691922,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,"Octopus!, big hermit crab, scaber, flathead",IUCN VI Shelf
20_5,2021-09-08 11:37:00,20210908,11:37:00,,113,Freycinet AMP,20,VI,-41.81362248,148.5413682,0.000691922,DS,DS,DS,Yes,Yes,Yes,No ,Yes,Yes ,Catfish,IUCN VI Shelf
21_1,2021-09-04 10:23:00,20210904,10:23:00,,104,Freycinet AMP,21,IV,-42.13571728,148.5243175,0.0128306,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Giant melbourne skate,IUCN IV Shelf
21_2,2021-09-04 10:12:00,20210904,10:12:00,,112,Freycinet AMP,21,IV,-42.13257565,148.5302919,0.0128306,Ashlee B,Ashlee B,Ashlee B,Yes,Yes,Yes,No ,Yes,Yes ,nadda,IUCN IV Shelf
21_3,2021-09-04 10:28:00,20210904,10:28:00,,107,Freycinet AMP,21,IV,-42.13771728,148.5229135,0.0128306,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,Cool Lepidotrigla mulhalli ,IUCN IV Shelf
21_4,2021-09-04 10:16:00,20210904,10:16:00,,109,Freycinet AMP,21,IV,-42.13457572,148.5288881,0.0128306,DS,DS,DS,Yes,No,Yes,Yes,Yes,Yes ,No left camera. cyttus australis.,IUCN IV Shelf
21_5,2021-09-04 10:07:00,20210904,10:07:00,,105,Freycinet AMP,21,IV,-42.13155327,148.5259116,0.0128306,DS,DS,DS,Yes,Yes,Yes,Yes,Yes,Yes ,macropterus. Not a whole lot else,IUCN IV Shelf
