Camera Details

Generated: Thursday 02 November 2023 13:59:30

OpCode	TapeReader	Depth	Comment	Latitude	Longitude	Date	Time	MPAStatus	Site	Year	Spare	Camera	Index	Descriptor	Image rows	Image columns	Focal length (mm)	x pixel size (mm)	y pixel size (mm)	X mm	Y mm	Z mm	Omega (degrees)	Phi (degrees)	Kappa (degrees)
DB_040	Scott Gray	35	No lights	-38.3424368	141.3528145	12/03/2023	11:50	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94075	0.002850	0.002850	301.314	0.000	0.000	-0.152	4.875	0.075
DB_041	Scott Gray	22	No lights	-38.321749	141.3701416	13/03/2023	11:56	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93784	0.002850	0.002850	-301.314	0.000	0.000	0.152	-5.233	-1.079
DB_041	Scott Gray	22	No lights	-38.321749	141.3701416	13/03/2023	11:56	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94075	0.002850	0.002850	301.314	0.000	0.000	-0.152	4.875	0.075
DB_042	Scott Gray	29	No lights	-38.380545	141.3489126	13/03/2023	9:49	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93900	0.002850	0.002850	-301.452	0.000	0.000	0.206	-5.049	2.153
DB_042	Scott Gray	29	No lights	-38.380545	141.3489126	13/03/2023	9:49	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94802	0.002850	0.002850	301.452	0.000	0.000	-0.206	4.972	0.005
DB_043	Scott Gray	30	No lights	-38.3941307	141.3684233	13/03/2023	9:39	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.95194	0.002850	0.002850	-301.809	0.000	0.000	-0.265	-5.459	-0.618
DB_043	Scott Gray	30	No lights	-38.3941307	141.3684233	13/03/2023	9:39	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.92723	0.002850	0.002850	301.809	0.000	0.000	0.265	3.653	1.159
DB_044	Scott Gray	22	No lights	-38.3898399	141.3874282	14/03/2023	14:07	Fished	Discovery Bay	2023		Left	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DB_044	Scott Gray	22	No lights	-38.3898399	141.3874282	14/03/2023	14:07	Fished	Discovery Bay	2023		Right	0		0	0	0.00000	0.000000	0.000000	0.000	0.000	0.000	0.000	0.000	0.000
DB_045	Louisa Graf	30	No lights	-38.3700391	141.3531778	13/03/2023	09:59	No take	Discovery Bay 	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93736	0.002850	0.002850	-301.565	0.000	0.000	-0.674	-5.923	-0.426
DB_045	Louisa Graf	30	No lights	-38.3700391	141.3531778	13/03/2023	09:59	No take	Discovery Bay 	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93607	0.002850	0.002850	301.565	0.000	0.000	0.674	4.047	-0.872
DB_046	Scott Gray	38	Lights	-38.3473241	141.356118	12/03/2023	12:07	No Take	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94203	0.002850	0.002850	-301.099	0.000	0.000	-0.443	-5.031	-0.006
DB_046	Scott Gray	38	Lights	-38.3473241	141.356118	12/03/2023	12:07	No Take	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94233	0.002850	0.002850	301.099	0.000	0.000	0.443	5.494	1.039
DB_047	Scott Gray	24	No lights	-38.3943985	141.3720073	13/03/2023	9:36	Fished	Discovery Bay	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93784	0.002850	0.002850	-301.314	0.000	0.000	0.152	-5.233	-1.079
DB_047	Scott Gray	24	No lights	-38.3943985	141.3720073	13/03/2023	9:36	Fished	Discovery Bay	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.94075	0.002850	0.002850	301.314	0.000	0.000	-0.152	4.875	0.075
DB_048	Louisa Graf	N/A	No lights	-38.3896205	141.3665325	14/03/2023	11:38	Fished	Discovery Bay 	2023		Left	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93736	0.002850	0.002850	-301.565	0.000	0.000	-0.674	-5.923	-0.426
DB_048	Louisa Graf	N/A	No lights	-38.3896205	141.3665325	14/03/2023	11:38	Fished	Discovery Bay 	2023		Right	0	GoPro Hero 567 Black Linear Water	1080	1920	3.93607	0.002850	0.002850	301.565	0.000	0.000	0.674	4.047	-0.872
