Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length
GREEE FIS8,-27.43240206,153.2457148,20140201,13:00:00,Green E ,Fished,8,2,Ben,Yes,No
KINGFIS1,-27.45107714,153.2448273,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIS2,-27.45183933,153.2464019,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIS3,-27.45300799,153.2477475,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIS4,-27.45415124,153.2488355,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIS5,-27.45554853,153.2498661,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIS6,-27.45105174,153.2433099,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIS7,-27.45102633,153.2412772,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
KINGFIS8,-27.45661554,153.2506964,20140201,13:00:00,King,Fished,9,2,Ben,Yes,No
REDCNOFIS1,-27.18776372,153.1184893,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIS2,-27.18720885,153.1197799,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIS3,-27.18671138,153.121049,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIS4,-27.18617564,153.1221675,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIS5,-27.18751499,153.1227698,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIS6,-27.18843339,153.1213932,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIS7,-27.18956224,153.1213932,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCNOFIS8,-27.19053802,153.1202531,20140201,13:00:00,Redcliffe North,Fished,10,2,Ben,Yes,No
REDCCEFIS1,-27.21133353,153.1211566,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIS2,-27.21265345,153.1217803,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIS3,-27.21359077,153.1205973,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIS4,-27.21408812,153.1191992,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIS5,-27.21104659,153.1198229,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIS6,-27.21077878,153.1186399,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIS7,-27.21521672,153.1187259,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCCEFIS8,-27.2098797,153.1181667,20140201,13:00:00,Redcliffe Central,Fished,11,2,Ben,Yes,No
REDCSONOS1,-27.26159404,153.1105307,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOS2,-27.26123075,153.1124881,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOS3,-27.2629516,153.1105952,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOS4,-27.26266479,153.1127462,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOS5,-27.26421354,153.1109178,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOS6,-27.2639841,153.11337,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOS7,-27.26583875,153.1113265,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
REDCSONOS8,-27.26572403,153.1137141,20140201,13:00:00,Redcliffe South,No-take,12,2,Ben,Yes,No
