Sample,Family,Genus,Species,Count,,
20_RB13,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB13,Scaridae,Scarus,ghobban,1,,
20_RB13,Scombridae,Scomberomorus,spp,1,,
20_RB13,Serranidae,Epinephelus,bilobatus,4,,
20_RB13,Serranidae,Plectropomus,spp,4,,
20_RB13,Siganidae,Siganus,canaliculatus,16,,
20_RB132,Ariidae,Netuma,thalassina,1,,
20_RB132,Carangidae,Decapterus,macrosoma,31,,
20_RB132,Carangidae,Atule,mate,53,,
20_RB132,Carcharhinidae,Carcharhinus,coatesi,3,,
20_RB132,Carcharhinidae,Loxodon,macrorhinus,1,,
20_RB132,Ephippidae,Platax,teira,1,,
20_RB132,Hemiscylliidae,Chiloscyllium,punctatum,1,,
20_RB132,Labridae,Choerodon,cauteroma,3,,
20_RB132,Labridae,Choerodon,cephalotes,1,,
20_RB132,Labridae,Choerodon,schoenleinii,1,,
20_RB132,Labridae,Choerodon,vitta,1,,
20_RB132,Lethrinidae,Lethrinus,genivittatus,2,,
20_RB132,Lethrinidae,Lethrinus,punctulatus,15,,
20_RB132,Mullidae,Parupeneus,indicus,1,,
20_RB132,Nemipteridae,Scolopsis,monogramma,1,,
20_RB132,Nemipteridae,Pentapodus,porosus,6,,
20_RB132,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB132,Scombridae,Scomberomorus,spp,2,,
20_RB132,Serranidae,Epinephelus,bilobatus,5,,
20_RB132,Siganidae,Siganus,canaliculatus,13,,
20_RB134,Carangidae,Turrum,gymnostethus,8,,
20_RB134,Carangidae,Atule,mate,4,,
20_RB134,Carangidae,Gnathanodon,speciosus,9,,
20_RB134,Echeneidae,Echeneis,naucrates,1,,
20_RB134,Labridae,Choerodon,cauteroma,4,,
20_RB134,Labridae,Choerodon,cephalotes,1,,
20_RB134,Labridae,Choerodon,schoenleinii,1,,
20_RB134,Lethrinidae,Lethrinus,punctulatus,21,,
20_RB134,Lutjanidae,Lutjanus,carponotatus,2,,
20_RB134,Nemipteridae,Scolopsis,monogramma,1,,
20_RB134,Scombridae,Scomberomorus,spp,2,,
20_RB134,Serranidae,Epinephelus,bilobatus,1,,
20_RB134,Serranidae,Plectropomus,spp,1,,
20_RB134,Stegostomatidae,Stegostoma,tigrinum,1,,
20_RB137,Carangidae,Gnathanodon,speciosus,9,,
20_RB137,Carcharhinidae,Galeocerdo,cuvier,1,,
20_RB137,Labridae,Choerodon,cauteroma,4,,
20_RB137,Labridae,Choerodon,cephalotes,3,,
20_RB137,Labridae,Pteragogus,enneacanthus,1,,
20_RB137,Labridae,Choerodon,schoenleinii,1,,
20_RB137,Lethrinidae,Lethrinus,genivittatus,9,,
20_RB137,Lethrinidae,Lethrinus,laticaudis,1,,
20_RB137,Lethrinidae,Lethrinus,punctulatus,9,,
20_RB137,Lutjanidae,Lutjanus,carponotatus,1,,
20_RB137,Mullidae,Upeneus,tragula,1,,
20_RB137,Nemipteridae,Scolopsis,monogramma,1,,
20_RB137,Nemipteridae,Pentapodus,porosus,7,,
20_RB137,Pomacanthidae,Chaetodontoplus,duboulayi,1,,
20_RB137,Scombridae,Scomberomorus,spp,2,,
20_RB137,Serranidae,Epinephelus,bilobatus,2,,
20_RB137,Serranidae,Plectropomus,spp,2,,
20_RB137,Siganidae,Siganus,canaliculatus,7,,
20_RB141,Carangidae,Scomberoides,commersonnianus,2,,
20_RB141,Carangidae,Turrum,fulvoguttatum,2,,
20_RB141,Carangidae,Atule,mate,5,,
20_RB141,Chaetodontidae,Chelmon,marginalis,2,,
20_RB141,Labridae,Choerodon,cauteroma,5,,
20_RB141,Labridae,Choerodon,cephalotes,1,,
20_RB141,Labridae,Choerodon,schoenleinii,1,,
20_RB141,Lethrinidae,Lethrinus,laticaudis,1,,
20_RB141,Lethrinidae,Lethrinus,punctulatus,16,,
20_RB141,Lutjanidae,Lutjanus,carponotatus,2,,
20_RB141,Nemipteridae,Scolopsis,monogramma,1,,
20_RB141,Ostraciidae,Ostracion,cubicus,1,,
20_RB141,Plotosidae,Paraplotosus,butleri,1,,
20_RB141,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB141,Scombridae,Scomberomorus,spp,2,,
20_RB141,Serranidae,Epinephelus,bilobatus,5,,
20_RB141,Serranidae,Plectropomus,spp,3,,
20_RB141,Sphyraenidae,Sphyraena,jello,1,,
20_RB145,Carangidae,Turrum,fulvoguttatum,5,,
20_RB145,Carangidae,Gnathanodon,speciosus,22,,
20_RB145,Chaetodontidae,Chaetodon,aureofasciatus,1,,
20_RB145,Chaetodontidae,Chelmon,marginalis,2,,
20_RB145,Chaetodontidae,Chelmon,muelleri,1,,
20_RB145,Echeneidae,Echeneis,naucrates,2,,
20_RB145,Haemulidae,Diagramma,pictum,1,,
20_RB145,Labridae,Choerodon,cauteroma,4,,
20_RB145,Labridae,Choerodon,cephalotes,1,,
20_RB145,Labridae,Choerodon,schoenleinii,1,,
20_RB145,Lethrinidae,Lethrinus,lentjan,1,,
20_RB145,Lethrinidae,Lethrinus,olivaceus,2,,
20_RB145,Lethrinidae,Lethrinus,punctulatus,17,,
20_RB145,Lutjanidae,Lutjanus,carponotatus,4,,
20_RB145,Mullidae,Upeneus,tragula,1,,
20_RB145,Nemipteridae,Scolopsis,monogramma,2,,
20_RB145,Nemipteridae,Pentapodus,porosus,1,,
20_RB145,Pomacanthidae,Chaetodontoplus,duboulayi,3,,
20_RB145,Serranidae,Epinephelus,bilobatus,7,,
20_RB145,Serranidae,Plectropomus,spp,1,,
20_RB145,Siganidae,Siganus,canaliculatus,9,,
20_RB145,Stegostomatidae,Stegostoma,tigrinum,1,,
20_RB146,Carangidae,Scomberoides,commersonnianus,2,,
20_RB146,Carangidae,Atule,mate,101,,
20_RB146,Carcharhinidae,Carcharhinus,coatesi,1,,
20_RB146,Carcharhinidae,Galeocerdo,cuvier,1,,
20_RB146,Echeneidae,Echeneis,naucrates,1,,
20_RB146,Labridae,Choerodon,cauteroma,3,,
20_RB146,Labridae,Choerodon,cephalotes,2,,
20_RB146,Labridae,Choerodon,vitta,1,,
20_RB146,Lethrinidae,Lethrinus,genivittatus,1,,
20_RB146,Lethrinidae,Lethrinus,punctulatus,25,,
20_RB146,Monacanthidae,Monacanthus,chinensis,1,,
20_RB146,Nemipteridae,Scolopsis,monogramma,2,,
20_RB146,Nemipteridae,Pentapodus,porosus,30,,
20_RB146,Pomacanthidae,Chaetodontoplus,duboulayi,2,,
20_RB146,Rachycentridae,Rachycentron,canadum,1,,
