CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,ReportID,Year,Site.type,Comments,Year
2022-02_PortPhillipBay,PPB077,-37.958,144.989,20220302,14:41:00,PPB,Fished,PPB,7.06063,Darcy Cutter,Yes,Yes,2022PPB077,2022,PPB ROV Sampling,Y,2022
2022-02_PortPhillipBay,PPB078,-38.154533,145.0907,20220302,10:06:00,PPB,Fished,PPB,7.17914,Darcy Cutter,Yes,Yes,2022PPB078,2022,Kade BRUVS,Y,2022
2022-02_PortPhillipBay,PPB079,-38.2873349,144.62,20220301,12:02:00,PPB,No-take,PPB,7.18448,Scott Gray,Yes,Yes,2022PPB079,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB080,-38.144,145.1,20220302,10:10:00,PPB,Fished,PPB,7.43,Darcy Cutter,Yes,Yes,2022PPB080,2022,PPB ROV Sampling,Y,2022
2022-02_PortPhillipBay,PPB081,-38.357642,144.854897,20220215,15:44:00,PPB,Fished,PPB,7.537,Scott Gray,Yes,Yes,2022PPB081,2022,Spider Crabs,Y,2022
2022-02_PortPhillipBay,PPB082,-38.3273243,144.9500444,20220215,16:02:00,PPB,Fished,PPB,7.58375,Scott Gray,Yes,Yes,2022PPB082,2022,TNC Shellfish Reefs,Y,2022
2022-02_PortPhillipBay,PPB083,-38.28636769,144.62963,20220215,12:43:00,PPB,No-take,PPB,7.60969,Scott Gray,Yes,Yes,2022PPB083,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB084,-38.28342646,144.62407,20220301,12:15:00,PPB,No-take,PPB,7.71368,Scott Gray,Yes,Yes,2022PPB084,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB085,-38.27528186,144.65549,20220215,13:07:00,PPB,Fished,PPB,7.8284,Scott Gray,Yes,Yes,2022PPB085,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB086,-37.88045,144.84585,20220410,13:24:00,PPB,Fished,PPB,7.91,Scott Gray,Yes,Yes,2022PPB086,2022,Drift algae net sites,Y,2022
2022-02_PortPhillipBay,PPB087,-38.02293,144.67144,20220217,10:10:00,PPB,Fished,PPB,7.93437,Scott Gray,Yes,Yes,2022PPB087,2022,Drift algae net sites,Y,2022
2022-02_PortPhillipBay,PPB088,-38.00165,145.061367,20220302,12:21:00,PPB,Fished,PPB,7.95063,Darcy Cutter,Yes,Yes,2022PPB088,2022,Kade BRUVS,Y,2022
2022-02_PortPhillipBay,PPB089,-38.28473282,144.63653,20220303,15:01:00,PPB,Fished,PPB,8.1648,Darcy Cutter,Yes,Yes,2022PPB089,2022,Deakin BRUVS,Y,2022
2022-02_PortPhillipBay,PPB090,-38.19,145.065,20220302,9:57:00,PPB,Fished,PPB,8.21125,Darcy Cutter,Yes,Yes,2022PPB090,2022,PPB ROV Sampling,Y,2022
